"Keyword","Trends","Impressions"
"rojadirecta es","[1,3,2]","6"
"rojadirectaenvivohd","[7]","7"
"roja directa en rodauce hoy","[2,4,4]","10"
"rojadirecta online hd","[6,5]","11"
"rojadirecta.com partidos en vivo","[4,4,2,4]","14"
"roja directa futbol en vivo","[7,2,5,2]","16"
"rojadirecta en vivo fútbol","[0,3,4,0,0,0,1,3,1,3,3,5,5]","28"
"roja directa mx","[20,10]","30"
"www.roja directa","[10,5,19]","34"
"rojadirecta fútbol","[0,1,4,1,1,3,2,1,0,1,2,4,15]","35"
"roja directa.","[6,6,5,13,10]","40"
"rojadirecta tv pirlo partidos hoy","[1,6,5,1,4,4,6,1,7,6,6]","47"
"rojadirecta ver online","[2,4,1,1,1,2,4,2,8,12,14]","51"
"pirlo rojadirecta","[1,2,10,2,1,1,6,3,7,6,6,7,3]","55"
"rojadirecta hd tv","[5,10,8,3,16,2,2,4,6,1]","57"
"futbol free","[3,2,2,6,9,1,3,9,4,8,11]","58"
"el partido de hoy en vivo","[2,4,4,7,5,5,3,4,6,5,14]","59"
"pirlo tv hd rojadirecta","[3,3,5,3,4,26,20]","64"
"rojadirecta me","[2,5,12,11,2,1,2,1,2,6,11,4,8]","67"
"rojadirecta vivo","[4,9,5,8,7,6,1,6,2,8,5,11,4]","76"
"rojadirecta mlb","[8,35,3,31]","77"
"futbol vivo","[4,9,10,7,12,5,6,6,10,11]","80"
"www.rojadirecta","[2,2,5,4,12,6,1,7,6,9,4,23]","81"
"rojadirectamx","[21,40,34]","95"
"roja di","[8,21,7,11,7,2,8,12,19,8]","103"
"la roja directa en vivo gratis","[1,1,1,1,36,52,16]","108"
"roja directa en hd","[6,11,13,30,20,16,12]","108"
"rojadirecta en vivo tv","[1,2,7,4,3,21,1,7,14,18,16,20]","114"
"rojadirecta online","[3,4,8,5,9,10,17,3,14,13,15,10,12]","123"
"rojadirecta béisbol","[26,68,9,21]","124"
"rojadirecta tv hoy","[13,8,6,15,7,9,9,16,19,7,18]","127"
"rojadirecta en vivo gratis","[1,7,10,8,7,22,7,15,13,8,13,7,14]","132"
"rojadirecta fútbol en vivo","[1,3,0,1,3,0,6,0,7,3,51,44,17]","136"
"rojadirecta tv vivo","[5,11,19,9,5,4,16,4,3,15,14,18,15]","138"
"rojadirecta tv en directo","[4,10,10,7,5,6,18,1,11,16,24,6,21]","139"
"fútbol hoy por tv","[9,7,6,9,18,8,8,20,17,10,27]","139"
"rojadirecta.com fútbol en vivo","[6,15,8,11,6,14,24,7,3,12,15,14,6]","141"
"rojadirecta tv directo","[9,12,11,6,7,16,8,9,8,10,19,18,10]","143"
"fútbol tv","[3,6,10,1,8,17,11,5,8,19,21,21,16]","146"
"pirlo tv pl","[10,12,19,18,6,13,13,8,16,17,11,11]","154"
"roja directa en vivo fútbol gratis hd","[10,11,14,13,6,16,19,10,3,11,15,18,10]","156"
"rojadirecta eu","[6,10,15,4,11,1,21,12,11,23,15,12,18]","159"
"rojadirecta en vivo español","[8,8,10,11,5,12,20,8,10,12,19,19,18]","160"
"directa roja","[18,19,19,12,11,2,4,8,11,16,14,18,11]","163"
"roja directa pl","[6,18,11,10,8,18,11,15,24,15,19,14]","169"
"qué partidos hay hoy","[6,11,10,12,8,6,17,13,16,16,16,40]","171"
