"Keyword","Trends","Impressions"
"rojadirecta es","[20,20,20,26,28]","114"
"tarjeta roja partidos en vivo","[0,44,42,0,23,20]","129"
"rojadirectamx","[54,84,81]","219"
"rojadirecta en vivo hd","[20,43,27,21,43,68,54]","276"
"rojadirecta football en direct pirlo","[51,23,20,21,32,56,42,31,50]","326"
"tarjeta roja rojadirecta tv online","[96,101,142]","339"
"rojadirecta tv live","[0,30,29,22,39,37,28,38,24,24,32,37]","340"
"pirlo rojadirecta hoy","[27,34,35,22,30,21,22,24,26,100]","341"
"rojadirecta live","[0,38,34,31,0,31,34,0,38,39,27,38,35]","345"
"rojadirecta hd tv","[30,37,38,32,33,42,40,40,55,30]","377"
"rojadirecta online directo","[31,39,39,41,32,25,25,27,33,27,40,41,25]","425"
"amistosos hoy","[433]","433"
"rojadirecta partida de hoy","[24,35,20,96,117,154]","446"
"www.rojadirecta.com fútbol en vivo","[32,31,40,22,43,46,40,69,53,36,40]","452"
"la roja directa en vivo gratis","[42,27,22,29,43,99,120,81]","463"
"www.rojadirecta","[23,28,32,39,37,31,25,32,70,52,43,65]","477"
"rojadirecta tv hoy","[58,34,43,45,27,30,33,38,74,51,82]","515"
"rojadirecta fútbol en vivo gratis","[21,34,69,50,36,43,36,56,26,44,50,56,31]","552"
"rojadirecta en vivo fútbol","[0,28,35,20,24,38,49,45,30,56,54,64,112]","555"
"rojadirecta streaming","[41,38,52,56,43,37,50,55,67,113,35]","587"
"rojadirecta nba","[37,37,36,35,39,45,41,47,66,51,67,66,76]","643"
"el partido de hoy en vivo","[104,27,46,29,30,36,38,67,64,81,138]","660"
"rojadirecta en vivo tv","[24,28,34,37,45,44,36,39,53,80,122,153]","695"
"roja directa.tv","[28,40,63,62,46,43,43,45,42,81,74,80,61]","708"
"rojadirecta football","[52,69,45,59,53,93,55,42,38,27,58,73,53]","717"
"roja directa por pirlo tv","[23,37,89,54,59,69,47,62,59,73,61,87,77]","797"
"rojadirecta futbol en vivo","[71,60,81,52,50,37,67,59,51,49,80,80,72]","809"
